net,length_um
net40,45.98µm
net39,44.84µm
net2,42.96µm
net13,41.58µm
net14,41.47µm
net15,35.3µm
net1,35.2µm
net3,34.24µm
net16,33.56µm
net4,31.92µm
net38,30.4µm
net18,30.1µm
_01_,30.04µm
net5,28.62µm
en[5],25.74µm
net8,25.16µm
net17,24.88µm
inc[5],23.66µm
en[4],21.5µm
net19,20.82µm
en[3],20.74µm
_02_,19µm
done_dec[4],18.56µm
net6,18.36µm
net20,18.36µm
inc[2],18.06µm
dec[3],17.5µm
en[1],17.5µm
dec[2],17.2µm
dec[1],17.08µm
dec[0],17.04µm
net9,16.7µm
inc[1],16.68µm
dec[5],16.58µm
done_dec[3],16.36µm
en[0],16.36µm
_04_,16µm
done_inc[0],15.98µm
en[2],15.76µm
inc[4],15.76µm
inc[0],15.66µm
done_dec[2],15.14µm
done_dec[1],14.98µm
dec[4],14.92µm
net26,14.46µm
done_inc[4],14.44µm
inc[3],14.28µm
done_dec[0],13.76µm
net7,13.68µm
button_dec,13.54µm
done_inc[1],13.14µm
done_inc[2],13.14µm
done_inc[3],13.14µm
_03_,11.3µm
mode[0],11.02µm
net35,10.38µm
net36,10.2µm
button_inc,9.64µm
select[1],9.18µm
_00_,8.98µm
net27,8.9µm
mode[1],8.72µm
select[0],8.72µm
select[2],8.72µm
select[3],8.72µm
select[4],8.72µm
select[5],8.72µm
net25,8.5µm
net28,8.44µm
net11,8.16µm
net10,8.02µm
net29,7.52µm
net37,6.3µm
net34,6.26µm
net12,5.06µm
net21,4.46µm
net24,4.02µm
net33,3.98µm
net31,3.42µm
net23,2.64µm
net32,2.64µm
net30,2.16µm
net22,2.04µm
